step,loss,lr,tok_s,vram_mb,CrossEntropy,RouterAuxLoss,RouterZLoss,Total
0,10.05553913116455,1.4999999999999998e-06,360,1917.659648,9.816398620605469,0.2364385426044464,0.002701461547985673,10.05553913116455
1,10.147809982299805,2.9999999999999997e-06,685,1916.447232,9.885489463806152,0.2596144676208496,0.0027062203735113144,10.147809982299805
2,10.069311141967773,4.499999999999999e-06,977,1923.648,9.829635620117188,0.23697420954704285,0.002702071564272046,10.069311141967773
3,10.07509994506836,5.999999999999999e-06,1245,1921.092608,9.833219528198242,0.23918262124061584,0.002698199125006795,10.07509994506836
4,10.066376686096191,7.499999999999999e-06,1491,1920.457216,9.8277587890625,0.23591811954975128,0.0026994284708052874,10.066376686096191
5,10.053135871887207,8.999999999999999e-06,1718,1917.756416,9.821990966796875,0.22844547033309937,0.0027001630514860153,10.053135871887207
6,10.089900970458984,1.05e-05,1930,1919.851008,9.843758583068848,0.24344104528427124,0.0027016063686460257,10.089900970458984
7,9.995732307434082,1.1999999999999999e-05,2127,1916.967936,9.765716552734375,0.22731569409370422,0.002699535572901368,9.995732307434082
8,9.985783576965332,1.3499999999999998e-05,2311,1915.86304,9.759124755859375,0.22396022081375122,0.0026988007593899965,9.985783576965332
9,9.93527603149414,1.4999999999999999e-05,2483,1918.655488,9.696477890014648,0.2360994815826416,0.0026985080912709236,9.93527603149414
10,9.931168556213379,1.6499999999999998e-05,2643,1919.670784,9.708660125732422,0.2198120504617691,0.002695634262636304,9.931168556213379
11,9.87987995147705,1.7999999999999997e-05,2792,1917.508096,9.651317596435547,0.22586549818515778,0.002696582581847906,9.87987995147705
12,9.916844367980957,1.95e-05,2932,1915.414528,9.676735877990723,0.23741057515144348,0.002697964431717992,9.916844367980957
13,9.721467018127441,2.1e-05,3066,1918.662144,9.4614839553833,0.25728580355644226,0.002697047544643283,9.721467018127441
14,9.746061325073242,2.2499999999999998e-05,3193,1919.002624,9.506669998168945,0.23669692873954773,0.0026939220260828733,9.746061325073242
15,9.801801681518555,2.3999999999999997e-05,3312,1919.589376,9.568202018737793,0.23089995980262756,0.0026999886613339186,9.801801681518555
16,9.744083404541016,2.55e-05,3424,1918.147072,9.488033294677734,0.253354549407959,0.0026954275090247393,9.744083404541016
17,9.585708618164062,2.6999999999999996e-05,3534,1917.45536,9.333749771118164,0.24926698207855225,0.002692306647077203,9.585708618164062
18,9.541435241699219,2.8499999999999998e-05,3635,1922.704384,9.315550804138184,0.2231929749250412,0.002691349247470498,9.541435241699219
19,9.512454986572266,2.9999999999999997e-05,3731,1920.280064,9.275429725646973,0.2343364655971527,0.002688724547624588,9.512454986572266
20,9.45219612121582,3.149999999999999e-05,3819,1921.230848,9.226876258850098,0.22263002395629883,0.002689708024263382,9.45219612121582
21,9.3719482421875,3.2999999999999996e-05,3906,1918.04928,9.142037391662598,0.22722621262073517,0.0026848430279642344,9.3719482421875
22,9.274168968200684,3.45e-05,3991,1916.886016,9.051023483276367,0.22046104073524475,0.0026847142726182938,9.274168968200684
23,9.204370498657227,3.5999999999999994e-05,4071,1918.835712,8.98033332824707,0.22135227918624878,0.0026847755070775747,9.204370498657227
24,9.18988037109375,3.75e-05,4147,1916.607488,8.959541320800781,0.22765406966209412,0.0026841924991458654,9.18988037109375
25,9.19685173034668,3.9e-05,4220,1917.703168,8.97750473022461,0.21666240692138672,0.0026848462875932455,9.19685173034668
26,9.160845756530762,4.05e-05,4289,1915.600384,8.934637069702148,0.22352443635463715,0.0026841650251299143,9.160845756530762
27,8.994032859802246,4.2e-05,4355,1918.790656,8.761207580566406,0.23014327883720398,0.0026818846818059683,8.994032859802246
28,8.909963607788086,4.3499999999999993e-05,4418,1920.781312,8.691061019897461,0.21622148156166077,0.002680409699678421,8.909963607788086
29,9.007630348205566,4.4999999999999996e-05,4478,1919.312896,8.796180725097656,0.20876877009868622,0.0026803507935255766,9.007630348205566
30,8.910056114196777,4.65e-05,4538,1921.309696,8.692615509033203,0.21476119756698608,0.0026797440368682146,8.910056114196777
31,8.929638862609863,4.7999999999999994e-05,4594,1922.301952,8.706928253173828,0.22003041207790375,0.0026801747735589743,8.929638862609863
32,8.859334945678711,4.95e-05,4651,1920.113664,8.641717910766602,0.21493679285049438,0.002680040430277586,8.859334945678711
33,9.189760208129883,5.1e-05,4703,1923.111936,8.957351684570312,0.22972649335861206,0.002682147780433297,9.189760208129883
34,9.002891540527344,5.2499999999999995e-05,4753,1924.242432,8.782938003540039,0.2172727882862091,0.0026805768720805645,9.002891540527344
35,8.883822441101074,5.399999999999999e-05,4803,1920.652288,8.663488388061523,0.21765311062335968,0.0026803428772836924,8.883822441101074
36,8.765340805053711,5.5499999999999994e-05,4852,1918.533632,8.546415328979492,0.21624526381492615,0.0026799868792295456,8.765340805053711
37,8.72713565826416,5.6999999999999996e-05,4897,1918.721024,8.500995635986328,0.22345998883247375,0.00268022739328444,8.72713565826416
38,8.621179580688477,5.85e-05,4940,1917.66528,8.402862548828125,0.21563756465911865,0.002679693978279829,8.621179580688477
